Name,Date of Birth
Aarav Sharma,1960-01-01
Vivaan Singh,1960-02-16
Aditya Jain,1960-04-02
Vihaan Joshi,1960-05-18
Arjun Bansal,1960-07-03
Sai Reddy,1960-08-18
Reyansh Sharma,1960-10-03
Aanya Singh,1960-11-18
Ananya Jain,1961-01-03
Diya Joshi,1961-02-18
Ishita Bansal,1961-04-05
Priya Reddy,1961-05-20
Rahul Sharma,1961-07-05
Rohan Singh,1961-08-20
Neha Jain,1961-10-05
Karan Joshi,1961-11-20
Sneha Bansal,1962-01-05
Meera Reddy,1962-02-19
Kabir Sharma,1962-04-06
Arnav Singh,1962-05-21
Aarav Jain,1962-07-06
Vivaan Joshi,1962-08-21
Aditya Bansal,1962-10-06
Vihaan Reddy,1962-11-21
Arjun Sharma,1963-01-06
Sai Singh,1963-02-20
Reyansh Jain,1963-04-07
Aanya Joshi,1963-05-22
Ananya Bansal,1963-07-07
Diya Reddy,1963-08-22
Ishita Sharma,1963-10-07
Priya Singh,1963-11-22
Rahul Jain,1964-01-07
Rohan Joshi,1964-02-22
Neha Bansal,1964-04-08
Karan Reddy,1964-05-24
Sneha Sharma,1964-07-08
Meera Singh,1964-08-23
Kabir Jain,1964-10-08
Arnav Joshi,1964-11-23
Aarav Bansal,1965-01-08
Vivaan Reddy,1965-02-23
Aditya Sharma,1965-04-09
Vihaan Singh,1965-05-25
Arjun Jain,1965-07-10
Sai Joshi,1965-08-25
Reyansh Bansal,1965-10-10
Aanya Reddy,1965-11-25
Ananya Sharma,1966-01-10
Diya Singh,1966-02-24
Ishita Jain,1966-04-11
Priya Joshi,1966-05-26
Rahul Bansal,1966-07-11
Rohan Reddy,1966-08-26
Neha Sharma,1966-10-11
Karan Singh,1966-11-26
Sneha Jain,1967-01-11
Meera Joshi,1967-02-25
Kabir Bansal,1967-04-12
Arnav Reddy,1967-05-28
Aarav Sharma,1967-07-13
Vivaan Singh,1967-08-28
Aditya Jain,1967-10-13
Vihaan Joshi,1967-11-28
Arjun Bansal,1968-01-13
Sai Reddy,1968-02-27
Reyansh Sharma,1968-04-13
Aanya Singh,1968-05-29
Ananya Jain,1968-07-14
Diya Joshi,1968-08-29
Ishita Bansal,1968-10-14
Priya Reddy,1968-11-29
Rahul Sharma,1969-01-14
Rohan Singh,1969-02-28
Neha Jain,1969-04-15
Karan Joshi,1969-05-31
Sneha Bansal,1969-07-15
Meera Reddy,1969-08-30
Kabir Sharma,1969-10-15
Arnav Singh,1969-11-30
Aarav Jain,1970-01-15
Vivaan Joshi,1970-03-01
Aditya Bansal,1970-04-16
Vihaan Reddy,1970-06-01
Arjun Sharma,1970-07-17
Sai Singh,1970-09-01
Reyansh Jain,1970-10-17
Aanya Joshi,1970-12-02
Ananya Bansal,1971-01-17
Diya Reddy,1971-03-03
Ishita Sharma,1971-04-18
Priya Singh,1971-06-03
Rahul Jain,1971-07-19
Rohan Joshi,1971-09-03
Neha Bansal,1971-10-19
Karan Reddy,1971-12-04
Sneha Sharma,1972-01-19
Meera Singh,1972-03-04
Kabir Jain,1972-04-19
Arnav Joshi,1972-06-04
